2007-12-12/08:11:30 2007-12-12/08:31:30
2008-01-18/01:23:57 2008-01-18/01:31:00
2008-04-10/04:31:30 2008-04-10/04:55:10
2008-04-10/05:13:30 2008-04-10/05:32:30
2008-04-18/04:06:30 2008-04-18/04:51:30
2008-04-26/04:40:30 2008-04-26/05:05:30
2009-01-07/06:16:30 2009-01-07/07:16:30
2009-01-08/07:18:30 2009-01-08/08:32:28
2009-01-09/06:06:30 2009-01-09/06:31:30
2009-01-09/07:21:30 2009-01-09/07:39:00
2009-01-10/08:50:30 2009-01-10/09:10:30
2009-01-14/08:59:30 2009-01-14/10:07:00
2009-01-18/10:09:30 2009-01-18/10:39:30
2009-01-19/05:32:26 2009-01-19/06:18:30
2009-01-19/10:04:30 2009-01-19/10:27:00
2009-01-26/06:47:30 2009-01-26/07:40:00
2009-01-28/08:06:30 2009-01-28/08:31:30
2009-01-28/09:11:30 2009-01-28/09:34:00
2009-01-29/05:54:30 2009-01-29/06:54:30
2009-01-29/09:32:15 2009-01-29/10:05:30
2009-01-30/08:50:30 2009-01-30/09:10:30
2009-01-30/09:35:30 2009-01-30/09:58:00
2009-01-31/05:51:30 2009-01-31/06:21:30
2009-01-31/10:52:30 2009-01-31/11:12:30
2009-01-31/11:37:30 2009-01-31/12:05:00
2009-02-01/08:25:30 2009-02-01/08:45:30
2009-02-04/05:15:30 2009-02-04/05:40:30
2009-02-04/05:55:30 2009-02-04/06:30:30
2009-02-04/09:22:30 2009-02-04/10:12:30
2009-02-05/08:54:30 2009-02-05/09:29:30
2009-02-07/12:47:30 2009-02-07/13:47:30
2009-02-12/09:44:30 2009-02-12/10:04:30
2009-02-12/10:19:30 2009-02-12/10:49:30
2009-02-14/05:05:30 2009-02-14/05:25:30
2009-02-15/10:43:00 2009-02-15/11:01:00
2009-02-16/08:59:30 2009-02-16/10:19:30
2009-02-16/14:59:30 2009-02-16/15:19:30
2009-02-16/15:34:30 2009-02-16/15:59:30
2009-02-19/14:09:30 2009-02-19/14:54:30
2009-02-21/08:47:30 2009-02-21/09:12:30
2009-02-21/09:42:30 2009-02-21/10:00:00
2009-02-22/06:59:30 2009-02-22/07:39:30
