2007-12-12/08:47:30 2007-12-12/09:22:30
2008-01-18/01:23:44 2008-01-18/01:30:00
2008-04-10/04:31:30 2008-04-10/04:55:10
2008-04-10/05:13:30 2008-04-10/05:32:30
2008-04-18/04:06:30 2008-04-18/04:51:30
2009-01-05/06:40:30 2009-01-05/06:44:40
2009-01-07/06:17:30 2009-01-07/07:17:30
2009-01-09/06:07:30 2009-01-09/06:32:30
2009-01-09/07:22:30 2009-01-09/07:40:00
2009-01-10/08:50:30 2009-01-10/09:10:30
2009-01-14/09:00:30 2009-01-14/10:08:00
2009-01-15/05:21:20 2009-01-15/05:25:30
2009-01-18/10:12:30 2009-01-18/10:50:00
2009-01-19/05:32:26 2009-01-19/06:23:30
2009-01-19/09:05:30 2009-01-19/09:25:30
2009-01-26/06:36:30 2009-01-26/07:39:00
2009-01-28/08:11:30 2009-01-28/08:36:30
2009-01-28/08:56:30 2009-01-28/09:34:00
2009-01-29/05:27:30 2009-01-29/05:47:30
2009-01-29/06:27:30 2009-01-29/06:47:30
2009-01-29/09:36:28 2009-01-29/10:05:00
2009-01-30/08:45:30 2009-01-30/09:10:30
2009-01-30/09:35:30 2009-01-30/09:58:00
2009-01-31/05:51:30 2009-01-31/06:21:30
2009-01-31/10:51:30 2009-01-31/11:11:30
2009-01-31/11:36:30 2009-01-31/12:04:00
2009-02-01/08:25:30 2009-02-01/09:05:30
2009-02-04/05:13:30 2009-02-04/05:38:30
2009-02-04/05:53:30 2009-02-04/06:23:30
2009-02-04/09:18:30 2009-02-04/10:08:30
2009-02-05/08:54:30 2009-02-05/09:29:30
2009-02-07/12:48:30 2009-02-07/13:48:30
2009-02-12/10:17:30 2009-02-12/10:47:30
2009-02-12/14:47:00 2009-02-12/15:12:00
2009-02-14/05:00:30 2009-02-14/05:40:30
2009-02-15/06:20:30 2009-02-15/06:40:30
2009-02-15/10:43:30 2009-02-15/11:01:00
2009-02-16/08:58:30 2009-02-16/10:18:30
2009-02-16/14:59:30 2009-02-16/15:19:30
2009-02-16/15:34:30 2009-02-16/16:19:30
2009-02-19/14:09:30 2009-02-19/14:54:30
2009-02-21/08:47:30 2009-02-21/09:12:30
2009-02-21/09:42:30 2009-02-21/10:00:00
2009-02-22/06:55:30 2009-02-22/07:40:30
2009-02-22/12:37:30 2009-02-22/12:57:00
