2007-12-21/08:57:00 2007-12-21/09:00:07
2007-12-21/09:19:57 2007-12-21/09:19:57
2007-12-29/08:39:00 2007-12-29/09:04:00
2008-01-18/05:07:37 2008-01-18/05:07:37
2008-02-15/03:27:35 2008-02-15/03:38:00
2008-02-15/06:25:52 2008-02-15/06:29:00
2008-02-19/05:21:42 2008-02-19/05:29:00
2008-03-29/07:47:52 2008-03-29/07:47:52
2009-01-07/07:10:00 2009-01-07/07:35:00
2009-01-09/07:20:00 2009-01-09/07:45:00
2009-01-14/09:48:00 2009-01-14/09:50:05
2009-01-14/10:13:00 2009-01-14/10:13:00
2009-01-15/05:38:00 2009-01-15/06:02:00
2009-01-18/10:44:36 2009-01-18/10:54:00
2009-01-19/06:26:00 2009-01-19/06:51:00
2009-01-26/07:19:00 2009-01-26/07:44:00
2009-01-28/09:14:00 2009-01-28/09:35:52
2009-01-29/06:40:00 2009-01-29/07:05:00
2009-01-29/09:45:00 2009-01-29/10:10:00
2009-01-30/09:38:00 2009-01-30/10:00:57
2009-01-31/06:39:00 2009-01-31/07:04:00
2009-01-31/11:58:35 2009-01-31/12:09:00
2009-02-01/09:38:00 2009-02-01/09:41:08
2009-02-04/06:11:00 2009-02-04/06:36:00
2009-02-04/10:06:00 2009-02-04/10:31:00
2009-02-05/09:57:00 2009-02-05/10:22:00
2009-02-12/11:00:00 2009-02-12/11:23:57
2009-02-14/06:08:00 2009-02-14/06:33:00
2009-02-14/11:35:00 2009-02-14/12:00:00
2009-02-15/07:33:00 2009-02-15/07:58:00
2009-02-15/10:41:00 2009-02-15/11:06:00
2009-02-16/10:14:21 2009-02-16/10:29:00
2009-02-21/09:40:00 2009-02-21/10:01:52
2009-02-22/08:03:00 2009-02-22/08:28:00
2009-02-23/13:21:42 2009-02-23/13:27:57
2009-02-24/07:22:00 2009-02-24/07:47:00
2009-02-25/08:40:00 2009-02-25/09:05:00
2009-02-27/07:41:00 2009-02-27/08:06:00
2009-02-28/05:21:02 2009-02-28/05:45:00
2009-03-03/15:03:00 2009-03-03/15:28:00
2009-03-04/05:27:00 2009-03-04/05:51:00
2009-03-04/10:30:00 2009-03-04/10:54:00
2009-03-08/07:41:00 2009-03-08/08:06:00
2009-03-08/10:59:00 2009-03-08/11:04:12
2009-03-12/01:57:00 2009-03-12/02:10:32
2009-03-13/05:31:00 2009-03-13/05:56:00
2009-03-13/10:54:00 2009-03-13/11:00:15
2009-03-14/05:47:00 2009-03-14/06:12:00
2009-03-15/04:19:00 2009-03-15/04:36:42
2009-03-15/08:01:00 2009-03-15/08:26:00
2009-03-16/10:30:00 2009-03-16/10:55:00
2009-03-19/06:36:00 2009-03-19/06:58:00
2009-03-21/09:58:00 2009-03-21/10:23:00
2009-03-25/07:37:00 2009-03-25/08:02:00
2009-04-05/09:00:00 2009-04-05/09:25:00
2009-04-09/08:38:00 2009-04-09/08:47:22
2009-04-12/04:55:00 2009-04-12/05:12:42
2009-04-20/05:03:00 2009-04-20/05:18:37
2010-02-12/03:57:00 2010-02-12/04:21:00
2010-02-16/01:29:05 2010-02-16/01:52:00
2010-02-23/00:59:42 2010-02-23/01:07:00
2010-02-24/04:05:00 2010-02-24/04:29:00
2010-03-03/02:20:00 2010-03-03/02:44:00
2010-03-04/04:03:00 2010-03-04/04:28:00
2010-03-07/04:28:00 2010-03-07/04:50:00
2010-03-11/05:03:00 2010-03-11/05:28:00
2010-03-12/04:31:00 2010-03-12/04:56:00
2010-03-14/00:50:52 2010-03-14/00:54:00
2010-03-17/04:37:00 2010-03-17/05:02:00
2010-03-19/06:23:00 2010-03-19/06:45:00
2010-03-20/03:36:00 2010-03-20/04:01:00
2010-03-20/06:43:00 2010-03-20/07:08:00
2010-03-25/02:51:00 2010-03-25/03:16:00
2010-03-25/14:46:47 2010-03-25/14:49:55
2010-03-26/07:36:00 2010-03-26/07:44:20
2010-03-27/03:57:00 2010-03-27/04:21:00
2010-03-28/03:31:00 2010-03-28/03:56:00
2010-03-31/04:56:00 2010-03-31/05:21:00
2010-04-01/05:22:00 2010-04-01/05:47:00
2010-04-03/08:04:00 2010-04-03/08:19:37
2010-04-04/04:19:00 2010-04-04/04:44:00
2010-04-05/04:40:25 2010-04-05/04:55:00
2010-04-05/08:06:00 2010-04-05/08:26:50
2010-04-07/03:21:00 2010-04-07/03:28:19
2010-04-07/03:42:57 2010-04-07/03:42:57
2010-04-07/05:40:00 2010-04-07/06:05:00
2010-04-08/07:04:00 2010-04-08/07:29:00
2010-04-09/05:59:00 2010-04-09/06:09:25
2010-04-09/06:19:50 2010-04-09/06:21:55
2010-04-19/05:41:00 2010-04-19/06:05:00
2010-04-20/05:55:26 2010-04-20/05:57:31
2010-05-03/07:53:00 2010-05-03/08:18:00
2010-05-11/06:21:57 2010-05-11/06:23:00
2010-05-18/06:44:00 2010-05-18/07:09:00
2010-05-20/06:34:00 2010-05-20/06:53:47
2010-05-22/05:27:00 2010-05-22/05:28:03
2010-05-25/05:57:00 2010-05-25/06:20:00
2010-06-03/05:04:00 2010-06-03/05:07:07
2010-06-03/05:17:32 2010-06-03/05:29:00
2010-06-06/05:11:00 2010-06-06/05:36:00
2010-06-07/09:01:47 2010-06-07/09:02:50
2010-06-11/04:37:25 2010-06-11/04:47:50
2010-06-14/03:09:00 2010-06-14/03:34:00
2010-06-17/04:07:00 2010-06-17/04:32:00
2011-03-01/10:00:37 2011-03-01/10:10:00
2011-03-02/11:58:00 2011-03-02/12:02:10
2011-03-03/10:16:00 2011-03-03/10:39:00
2011-03-03/12:10:00 2011-03-03/12:21:27
2011-03-06/12:46:00 2011-03-06/13:10:00
2011-03-07/11:23:00 2011-03-07/11:48:00
2011-03-08/13:41:00 2011-03-08/13:42:02
